id,food_name,points,created_at,updated_at
1,Apples,0,0,0
2,"Applesauce,unsweetened",0,0,0
3,Apricots,0,0,0
4,Arrowroot,0,0,0
5,Artichokehearts,0,0,0
6,Artichokes,0,0,0
7,Arugula,0,0,0
8,Asparagus,0,0,0
9,Bambooshoots,0,0,0
10,Banana,0,0,0
11,Beans,0,0,0
12,Beans.pinto,0,0,0
13,Beets,0,0,0
14,"Berries,mixed",0,0,0
15,Blackberries,0,0,0
16,Blueberries,0,0,0
17,Broccoli,0,0,0
18,Broccolini,0,0,0
19,Broccolirabe,0,0,0
20,Broccolislaw,0,0,0
21,Brusselssprouts,0,0,0
22,Cabbage,0,0,0
23,"Calamari,grilled",0,0,0
24,Cantaloupe,0,0,0
25,Carrots,0,0,0
26,Cauliflower,0,0,0
27,Caviar,0,0,0
28,Celery,0,0,0
29,Cherries,0,0,0
30,"Chicken breast,ground,",0,0,0
31,"Chicken breastortenderloin,",0,0,0
32,"chicken,breastwithoutskin,1(3oz)",0,0,0
33,Clementines,0,0,0
34,"coffee,black",0,0,0
35,Coleslaw mix,0,0,0
36,Collards,0,0,0
37,Collars,0,0,0
38,Corn,0,0,0
39,Cranberries,0,0,0
40,Cucumber,0,0,0
41,Daikon,0,0,0
42,"Dates,fresh",0,0,0
43,Dragonfruit,0,0,0
44,"Edamame,inpodsorshelled",0,0,0
45,Eggplant,0,0,0
46,"Eggs,whole,includingyolks",0,0,0
47,Eggsubstitutes,0,0,0
48,Eggwhites,0,0,0
49,Endive,0,0,0
50,Escarole,0,0,0
51,"Fennel(anise,sweetanise,orfinocchio)",0,0,0
52,Figs,0,0,0
53,"fish,canned,drained,salmon,inwater",0,0,0
54,"fish,canned,drained,tuna,inwater",0,0,0
55,"Fruit,unsweetened",0,0,0
56,Fruitcocktail,0,0,0
57,"Fruitcup,unsweetened",0,0,0
58,Fruitsalad,0,0,0
59,Garlic,0,0,0
60,Gingerroot,0,0,0
61,Grapefruit,0,0,0
62,Grapes,0,0,0
63,"Greens,mixedbaby",0,0,0
64,"Greens:beet,collard,dandelion,kale,mustard,turnip",0,0,0
65,Guavas,0,0,0
66,"Guavas,strawberry",0,0,0
67,Heartsofpalm(palmetto),0,0,0
68,"Hominy,canned",0,0,0
69,Honeydewmelon,0,0,0
70,Jackfruit,0,0,0
71,Jerkchickenbreast,0,0,0
72,Jerusalemartichokes(sunchokes),0,0,0
73,Jicama(yambean),0,0,0
74,Kiwifruit,0,0,0
75,Kohlrabi,0,0,0
76,Kumquats,0,0,0
77,Leeks,0,0,0
78,Lemon,0,0,0
79,Lemonzest,0,0,0
80,Lentils,0,0,0
81,"Lettuce,allvarieties",0,0,0
82,Lime,0,0,0
83,Limezest,0,0,0
84,Litchis(lychees),0,0,0
85,Mangoes,0,0,0
86,Melonballs,0,0,0
87,Mungbeansprouts,0,0,0
88,Mungdal,0,0,0
89,Mushroomcaps,0,0,0
90,Mushrooms(allvarieties),0,0,0
91,Nectarine,0,0,0
92,Noriseaweed,0,0,0
93,Okra,0,0,0
94,Onions,0,0,0
95,Oranges(allvarieties),0,0,0
96,Papayas,0,0,0
97,Parsley,0,0,0
98,Passionfruit,0,0,0
99,Peaches,0,0,0
100,"Peapods,black-eye",0,0,0
101,Pears,0,0,0
102,Peas,0,0,0
103,Peasandcarrots,0,0,0
104,Peashoots,0,0,0
105,Pepperoncini,0,0,0
106,"Peppers,allvarieties",0,0,0
107,Persimmons,0,0,0
108,"Pickles,unsweetened",0,0,0
109,Picodegallo,0,0,0
110,"Pimientos,canned",0,0,0
111,Pineapple,0,0,0
112,Plumcots(pluots),0,0,0
113,Plums,0,0,0
114,Pomegranates,0,0,0
115,Pomegranateseeds,0,0,0
116,Pomelo(pummelo),0,0,0
117,Pumpkin,0,0,0
118,Pumpkinpuree,0,0,0
119,Radicchio,0,0,0
120,Radishes,0,0,0
121,Raspberries,0,0,0
122,Rutabagas,0,0,0
123,"Salad,mixedgreens",0,0,0
124,"Salad,side,withoutdressing,fastfood",0,0,0
125,"Salad,three-bean",0,0,0
